ADM2_EN,ADM2_PCODE,ADM2_REF,ADM2ALT1_EN,ADM2ALT2_EN,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,DATE,VALIDON,VALID_TO,District,DISTRICT_PCODE,AREA_SQKM
Doramba,NP0321402,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Ramechhap,NP0321,140.7747048
Dordi,NP0437403,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Lamjung,NP0437,350.981368
Thulung Dudhkoshi,NP0111406,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Solukhumbu,NP0111,144.3860498
Mapyadudhkoshi,NP0111404,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Solukhumbu,NP0111,167.4151743
Dudhouli,NP0320302,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sindhuli,NP0320,389.9810371
Dudhpokhari,NP0437404,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Lamjung,NP0437,153.3482143
Duduwa,NP0557404,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Banke,NP0557,90.99590406
Duhabi,NP0106304,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sunsari,NP0106,67.59467542
Paribartan,NP0554402,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Rolpa,NP0554,162.9894369
Dullu,NP0661303,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dailekh,NP0661,156.590696
Dungeshwor,NP0661406,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dailekh,NP0661,105.0860473
Dunhu,NP0775402,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Darchula,NP0775,65.1883179
Dupcheshwar,NP0328408,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Nuwakot,NP0328,131.5832586
Durga Bhagwati,NP0232402,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Rautahat,NP0232,19.7937163
Durgathali,NP0767406,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bajhang,NP0767,61.71873403
Ekdanra,NP0218403,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Mahottari,NP0218,23.98310125
Fakphokthum,NP0103401,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Ilam,NP0103,108.440999
Falelung,NP0102403,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Panchthar,NP0102,206.4114006
Falgunanda,NP0102405,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Panchthar,NP0102,107.1857178
Gadhawa,NP0556406,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dang,NP0556,358.4747393
